,movie_id,title,category,year,Poster,Director,Actors,Runtime
60,61,Eye for an Eye ,Drama,1996,https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris",101 min
61,62,Mr. Holland's Opus ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas",143 min
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood ,Comedy,1996,https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Paris Barclay,"Shawn Wayans, Marlon Wayans, Keenen Ivory Wayans",89 min
63,64,Two if by Sea ,Comedy,1996,https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Bill Bennett,"Sandra Bullock, Denis Leary, Stephen Dillane",96 min
64,65,Bio-Dome ,Comedy,1996,https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Jason Bloom,"Pauly Shore, Stephen Baldwin, William Atherton",88 min
65,66,Lawnmower Man 2: Beyond Cyberspace ,Action,1996,https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Farhad Mann,"Patrick Bergin, Matt Frewer, Austin O'Brien",93 min
66,67,Two Bits ,Drama,1995,https://m.media-amazon.com/images/M/MV5BOGE1NmM0MjYtZmJjYS00ODI5LWI0MjgtOGM2MTY3ZmIyNDZkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,James Foley,"Al Pacino, Mary Elizabeth Mastrantonio, Jerry Barone",85 min
67,68,French Twist ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BMWEwNWY1ZjQtYWMxYS00ZDY2LTg2Y2YtZDc5MTM4MzE0NTM4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Josiane Balasko,"Victoria Abril, Josiane Balasko, Alain Chabat",104 min
68,69,Friday ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,F. Gary Gray,"Ice Cube, Chris Tucker, Nia Long",91 min
69,70,From Dusk Till Dawn ,Action,1996,https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Robert Rodriguez,"Harvey Keitel, George Clooney, Juliette Lewis",108 min
70,71,Fair Game ,Action,1995,https://m.media-amazon.com/images/M/MV5BMjIyOTg1NzU0Ml5BMl5BanBnXkFtZTcwMjA2OTY5Mw@@._V1_SX300.jpg,Doug Liman,"Naomi Watts, Sean Penn, Sonya Davison",108 min
71,72,Kicking and Screaming ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNWU2YjdlN2ItNTk2OS00MzMwLTlhYjctNDI0MDI0NTQ3OWY0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,Noah Baumbach,"Josh Hamilton, Eric Stoltz, Samuel Gould",96 min
73,74,Bed of Roses ,Drama,1996,https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Michael Goldenberg,"Christian Slater, Mary Stuart Masterson, Pamela Adlon",87 min
74,75,Big Bully ,Comedy,1996,https://m.media-amazon.com/images/M/MV5BNDdhZTdiOTAtMWNiMC00NDRmLTllZWItYWMzOWZjNDY3ZmRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,Steve Miner,"Rick Moranis, Tom Arnold, Julianne Phillips",90 min
75,76,Screamers ,Action,1995,https://m.media-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Christian Duguay,"Peter Weller, Roy Dupuis, Jennifer Rubin",108 min
76,77,Nico Icon ,Documentary,1995,https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_SX300.jpg,Susanne Ofteringer,"Nico, Tina Aumont, Christian Päffgen",67 min
80,81,Things to Do in Denver When You're Dead ,Crime,1995,https://m.media-amazon.com/images/M/MV5BMzI0OWEzZmItOGUyOC00M2Y2LWIzNDEtY2EzYzAwNWI0ZDkyXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,Gary Fleder,"Andy Garcia, Christopher Walken, Christopher Lloyd",115 min
81,82,Antonia's Line ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNDVmNjdhMzEtNDMzMy00NzI0LWI1ZmUtNjJiNGEzMDExZDY5XkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_SX300.jpg,Marleen Gorris,"Willeke van Ammelrooy, Jan Decleir, Veerle van Overloop",102 min
82,83,Once Upon a Time... When We Were Colored ,Drama,1995,https://m.media-amazon.com/images/M/MV5BY2VmOWI4MzMtZmExYy00ZjNhLTk1Y2YtN2Q2ODkwMWViNDNkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg,Tim Reid,"Al Freeman Jr., Phylicia Rashad, Leon",115 min
83,84,Last Summer in the Hamptons ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BMTY2OTM4MDI2OV5BMl5BanBnXkFtZTcwNTQxMTYxMQ@@._V1_SX300.jpg,Henry Jaglom,"Victoria Foyt, Viveca Lindfors, Jon Robin Baitz",108 min
84,85,Angels and Insects ,Drama,1995,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,Philip Haas,"Mark Rylance, Kristin Scott Thomas, Patsy Kensit",116 min
85,86,White Squall ,Action,1996,https://m.media-amazon.com/images/M/MV5BMzE1ZGU3ZGMtZjM3NS00YTA1LWE4MzMtMDcxMWZhMTA2YWRmXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_SX300.jpg,Ridley Scott,"Jeff Bridges, Caroline Goodall, John Savage",129 min
86,87,Dunston Checks In ,Children,1996,https://m.media-amazon.com/images/M/MV5BN2RhOTA4YzAtNTg3NC00NmYxLWI1YjQtYzM4NTJlYzVhZGYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Ken Kwapis,"Jason Alexander, Faye Dunaway, Eric Lloyd",88 min
87,88,Black Sheep ,Comedy,1996,https://m.media-amazon.com/images/M/MV5BYjc2NzU0YjUtYzkyNS00NjcwLWJiM2QtM2Y3YjFhMTQ0M2I3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Penelope Spheeris,"Chris Farley, David Spade, Tim Matheson",87 min
88,89,Nick of Time ,Action,1995,https://m.media-amazon.com/images/M/MV5BODg1ODNjMzItYjRkMS00NmExLTkxNWUtMWYwNWM2NDU1YzU1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,John Badham,"Johnny Depp, Christopher Walken, Courtney Chase",90 min
90,92,Mary Reilly ,Drama,1996,https://m.media-amazon.com/images/M/MV5BZWI5MzBiMjgtNDE2ZC00MTA1LWFmNWItZDQyMDA2NGE0MjQ5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Stephen Frears,"Julia Roberts, John Malkovich, George Cole",108 min
91,93,Vampire in Brooklyn ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNWFlYjJiYzUtNWE1YS00YzM5LTkxYzMtN2FlMjI4NTNlNzExXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Wes Craven,"Eddie Murphy, Angela Bassett, Allen Payne",100 min
92,94,Beautiful Girls ,Comedy,1996,https://m.media-amazon.com/images/M/MV5BOTQ4OTU0ODktY2E5YS00MGFhLTgwZTEtZWFkOGMxMmFmOTg0XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Ted Demme,"Matt Dillon, Timothy Hutton, Noah Emmerich",112 min
93,95,Broken Arrow ,Action,1996,https://m.media-amazon.com/images/M/MV5BYzU2NDg3ZTItNzRmNy00NTQzLTljMDUtNjczOTMwZjEzNWVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,John Woo,"John Travolta, Christian Slater, Samantha Mathis",108 min
94,96,In the Bleak Midwinter ,Comedy,1995,https://m.media-amazon.com/images/M/MV5BNjQwMjAyOWUtNWMxZC00N2I3LTlmZjAtMzVhZTRmNjdjYThmXkEyXkFqcGdeQXVyNDYwNTMxMzI@._V1_SX300.jpg,Davide Abbatescianni,"Hanna Allsaar, Jan-Erik Aruvald, Inna Hallik",15 min
